OrphaCode,TypeOfInheritance
166024,AR
58,AD
61,AR
93,AR
585,AR
118,AR
141,AR
166063,AR
166078,AD
166073,AR
213,AR
166084,AD
333,AR
166081,AD
349,AR
166090,AD
365,AR
166087,AD
366,AR
166093,AR
368,AR
166096,AR
367,AR
166100,AD
371,AR
166105,AR
369,AR
166119,AD
487,AR
166260,AD
166265,AD
583,AR
576,AR
812,AR
166282,AD
578,AR
577,AR
796,AR
584,AR
166412,AD
95,AR
848,AD
846,AR
586,AR
261,AD
269,AD
480,AR
593,AD
597,AD
607,AD
163746,AD
684,AD
163931,AR
273,AD
163927,AD
614,AD
307,AD
892,AD
731,AR
164736,AD
138,AD
558,AD
165805,AD
803,AD
100,AR
733,AD
399,AD
501,AR
512,AR
567,AD
232,AR
166002,AD
790,AD
165991,AD
652,AD
739,AD
579,AR
905,AR
827,AD
906,AD
904,AD
15,AD
96,AR
101,AD
783,AD
163649,AR
631,AD
163668,AD
163662,AD
394,AR
163665,AR
508,AR
436,AD
163596,AR
429,AD
437,AD
163717,AD
636,AD
163721,AD
163684,AR
163681,AR
379,AR
637,AD
163696,AR
163693,AR
163690,AR
337,AD
377,AD
648,AD
752,AR
214,AR
524,AD
640,AD
60,AR
895,AD
896,AD
857,AD
894,AD
682,AD
800,AR
628,AR
681,AD
126,AD
107,AD
774,AD
794,AD
710,AD
2869,AD
893,AD
912,AR
53,AD
14,AR
52,AD
167,AR
207,AD
205,AR
201,AD
2443,AR
474,AR
540,AR
564,AR
289,AR
258,AR
112,AD
169464,AR
99,AD
116,AD
87,AD
97,AD
313,AD
999,AR
171430,AR
171433,AD
171436,AD
171439,AD
55,AR
171445,AD
2771,AR
171612,AD
171617,AD
171622,AR
171629,AR
861,AD
308,AR
199,AD
2162,AR
930,AR
1727,AD
169079,AR
169100,AR
169090,AR
169095,AR
169082,AR
169085,AR
753,AR
868,AR
218,AD
168796,AD
1465,AD
2772,AR
2609,AR
773,AR
169154,AR
370,AR
169160,AR
385,AD
169157,AR
1947,AR
169142,AR
352,AR
610,AD
169186,AR
169189,AD
44,AR
56,AR
1059,AD
22,AR
29,AR
245,AD
30,AR
36,AR
915,AD
2614,AD
33,AR
819,AD
3085,AR
168615,AD
1452,AD
168629,AD
168624,AD
193,AR
1488,AR
168632,AD
1334,AD
168583,AR
1369,AR
168577,AD
168593,AR
168588,AD
168601,AR
1414,AR
168598,AR
168606,AD
168549,AR
168552,AR
1154,AD
168555,AR
168558,AD
168563,AR
124,AD
168566,AR
1310,AD
168569,AR
168572,AR
125,AR
90,AR
1065,AD
168454,AR
1146,AD
1143,AR
1147,AD
246,AR
1770,AR
1775,AD
1764,AR
235,AR
239,AR
833,AR
765,AR
395,AR
148,AR
147,AR
23,AR
45,AR
226,AR
1538,AD
1496,AR
417,AR
446,AR
2135,AR
2116,AR
2118,AD
351,AR
2020,AD
2053,AD
1880,AD
255,AD
1885,AD
2635,AD
2655,AD
606,AD
705,AR
2801,AR
2785,AR
2746,AR
2971,AR
2970,AD
2903,AD
2901,AD
718,AD
3071,AD
763,AR
2301,AR
469,AR
2318,AR
2253,AD
2300,AR
502,AD
477,AD
2346,AD
506,AR
2414,AR
2377,AR
560,AD
570,AD
1505,AR
612,AD
179494,AR
716,AR
287,AD
1020,AD
63,AD
154,AD
84,AR
70,AR
191,AR
166,AD
834,AR
799,AD
813,AD
816,AR
821,AD
3204,AD
3320,AR
909,AR
3447,AD
1422,AR
178469,AD
178464,AD
178396,AD
178382,AD
178389,AR
62,AR
178364,AD
715,AR
178377,AD
348,AR
178345,AD
178355,AR
178338,AR
3137,AR
598,AD
178509,AD
178506,AR
581,AR
685,AD
666,AD
178029,AD
177901,AD
423,AD
177904,AD
418,AR
216,AD
364,AR
355,AR
388,AD
304,AD
174590,AD
354,AR
760,AR
270,AD
244,AD
178307,AD
805,AD
886,AR
3440,AD
738,AD
768,AD
791,AD
2131,AD
57,AR
2334,AD
187,AR
46,AR
442,AR
3166,AD
2882,AR
171695,AR
134,AR
171703,AR
171706,AR
171709,AR
171723,AD
3467,AR
511,AR
171680,AD
32,AR
26,AR
171863,AD
171871,AD
171866,AR
171881,AD
2512,AR
171876,AR
1201,AR
171844,AD
1202,AD
171851,AR
171848,AR
3303,AD
200418,AR
730,AD
486,AD
98,AR
330,AR
1177,AR
828,AD
1431,AD
199340,AD
199337,AR
234,AR
199348,AR
199343,AR
199326,AD
199332,AR
199329,AR
3463,AR
199354,AR
199351,AR
356,AD
466,AD
199285,AD
2102,AR
199315,AD
199318,AD
274,AD
1195,AR
926,AR
199296,AR
1531,AD
189427,AD
976,AR
3129,AR
415,AR
13,AR
2494,AD
199241,AD
2134,AD
189466,AD
17,AR
3006,AR
3111,AR
2382,AD
1934,AD
845,AR
1935,AD
3451,AD
267,AR
582,AR
2398,AD
2929,AD
646,AR
654,AD
2897,AD
2314,AD
183678,AR
2177,AR
183713,AR
2380,AD
183660,AR
897,AD
808,AR
844,AD
676,AD
643,AR
634,AR
140,AD
2828,AR
642,AR
638,AD
326,AR
526,AD
650,AR
427,AR
215,AD
342,AD
327,AD
403,AD
653,AD
157,AR
2268,AR
475,AR
392,AD
243,AD
183422,AD
136,AD
528,AR
275,AR
182090,AD
184,AD
1047,AD
71,AR
1949,AD
189,AD
1473,AD
1344,AD
182050,AD
3103,AR
709,AR
902,AR
888,AD
871,AD
500,AD
233,AD
657,AD
569,AD
240,AD
2311,AR
358,AR
242,AD
2052,AR
1354,AR
1358,AR
1552,AD
172,AR
3000,AD
916,AD
920,AD
7,AR
931,AR
929,AR
869,AR
2297,AD
27,AR
31,AR
932,AD
37,AR
950,AD
949,AR
